,base_idx,Campsite,f_idx,f_site,f_ratio,j_idx,j_site,j_ratio,s_idx,s_site,s_ratio
1731,346,伊夕尚露營區,1493,伊夕尚露營區,100.0,1493,伊夕尚露營區,1.0,1493,伊夕尚露營區,1.0000000000000002
1756,351,亞哇斯露營區,1490,亞哇斯露營區,100.0,1490,亞哇斯露營區,1.0,1490,亞哇斯露營區,0.9999999999999998
1761,352,云仙谷休閒露營區,1520,云仙谷休閒露營區,100.0,1520,云仙谷休閒露營區,1.0,1520,云仙谷休閒露營區,1.0000000000000002
1770,354,永遠露宿,27,露宿,100.0,354,永遠露宿,1.0,354,永遠露宿,0.9999999999999998
1781,356,紫逸露營區,1540,紫逸露營區,100.0,1540,紫逸露營區,1.0,1540,紫逸露營區,0.9999999999999998
1796,359,鳳之凰露營區,1615,鳳之凰露營區,100.0,1615,鳳之凰露營區,1.0,1615,鳳之凰露營區,0.9999999999999998
1806,361,愛莉絲森林露營區,1939,森林露營區,100.0,1939,森林露營區,0.6666666666666666,1939,森林露營區,0.816496580927726
1811,362,快樂熊露營區,1609,六龜快樂熊露營區,100.0,1609,六龜快樂熊露營區,0.75,1609,六龜快樂熊露營區,0.8660254037844388
1826,365,彩虹森林露營區,1939,森林露營區,100.0,1939,森林露營區,0.6666666666666666,1939,森林露營區,0.816496580927726
1827,365,彩虹森林露營區,847,小森林露營區,90.9090909090909,1607,彩虹森林快樂農場露營區,0.6,1607,彩虹森林快樂農場露營區,0.7745966692414834
1831,366,文家果園,1658,文家果園,100.0,1658,文家果園,1.0,1658,文家果園,0.9999999999999998
1836,367,野獸休閒基地,1610,野獸休閒基地,100.0,1610,野獸休閒基地,1.0,1610,野獸休閒基地,1.0000000000000002
1846,369,樂活森林農場,1839,樂活森林,100.0,1839,樂活森林,0.6666666666666666,1839,樂活森林,0.816496580927726
1847,369,樂活森林農場,1841,樂活森林,100.0,1841,樂活森林,0.6666666666666666,1841,樂活森林,0.816496580927726
1881,376,涵香小屋露營驛站,1847,涵香小屋露營驛站,100.0,1847,涵香小屋露營驛站,1.0,1847,涵香小屋露營驛站,1.0
1891,378,湯尼瑪麗露營區,1850,湯尼瑪麗露營區,100.0,1850,湯尼瑪麗露營區,1.0,1850,湯尼瑪麗露營區,0.9999999999999998
1906,381,畫眉園露營區,1836,畫眉園露營區,100.0,1836,畫眉園露營區,1.0,1836,畫眉園露營區,0.9999999999999998
1911,382,日月潭 九蛙秘境露營區,1497,秘境露營區,100.0,1844,日月潭 九蛙秘境露營王國,0.5714285714285714,1844,日月潭 九蛙秘境露營王國,0.7302967433402215
1916,383,1-2號營地,1853,1-2號營地,100.0,1853,1-2號營地,1.0,1853,1-2號營地,1.0
1936,387,空若水營地,1868,空若水營地,100.0,1868,空若水營地,1.0,1868,空若水營地,1.0000000000000002
1940,388,露野森林SNUWING,42,露野森林,100.0,388,露野森林SNUWING,1.0,388,露野森林SNUWING,1.0000000000000002
1951,390,愛心露營地,1859,愛心露營地,100.0,1859,愛心露營地,1.0,1859,愛心露營地,1.0000000000000002
1991,398,龍泉營地,1838,龍泉營地,100.0,1838,龍泉營地,1.0,1838,龍泉營地,0.9999999999999998
2010,402,高峰農場露營區,14,高峰農場,100.0,402,高峰農場露營區,1.0,402,高峰農場露營區,1.0000000000000002
2055,411,森露快樂休閒營地,57,森露快樂,100.0,411,森露快樂休閒營地,1.0,411,森露快樂休閒營地,1.0
2060,412,鳳凰山日出湖秘密基地露營區,12,鳳凰山日出湖秘密基地,100.0,412,鳳凰山日出湖秘密基地露營區,1.0,412,鳳凰山日出湖秘密基地露營區,1.0000000000000002
2130,426,雲的嘉露營區,69,雲的嘉露營區,100.0,69,雲的嘉露營區,1.0,69,雲的嘉露營區,1.0
2156,431,To Me 桃米生態露營區,1856,ToMe 桃米生態露營區,91.66666666666666,1856,ToMe 桃米生態露營區,0.5714285714285714,1856,ToMe 桃米生態露營區,0.7453559924999298
2160,432,青綠園露營區,37,青綠園,100.0,432,青綠園露營區,1.0,432,青綠園露營區,0.9999999999999998
2216,443,三生園生態露營區,1858,三生園生態露營區,100.0,1858,三生園生態露營區,1.0,1858,三生園生態露營區,1.0
2250,450,九份二山連興露營區,21,九份二山連興露營區,100.0,21,九份二山連興露營區,1.0,21,九份二山連興露營區,1.0
2285,457,遇見東平莊園,70,遇見東平莊園,100.0,70,遇見東平莊園,1.0,70,遇見東平莊園,1.0000000000000002
2295,459,迦南之地露營區,19,迦南之地,100.0,459,迦南之地露營區,1.0,459,迦南之地露營區,1.0
2305,461,W.H窩露營區,67,W.H窩,100.0,461,W.H窩露營區,1.0,461,W.H窩露營區,1.0
2340,468,玫花露露營區,30,玫花露露營區,100.0,30,玫花露露營區,1.0,30,玫花露露營區,1.0000000000000002
2350,470,夢谷伊優達雅露營區,29,夢谷伊優達雅露營區,100.0,29,夢谷伊優達雅露營區,1.0,29,夢谷伊優達雅露營區,1.0
2355,471,峰芢苑露營區,13,峰芢苑露營區,100.0,13,峰芢苑露營區,1.0,13,峰芢苑露營區,1.0000000000000002
2376,475,上野左岸生態露營區,1869,上野左岸生態露營區,100.0,1869,上野左岸生態露營區,1.0,1869,上野左岸生態露營區,1.0
2381,476,星願村露營區,1865,星願村露營區,100.0,1865,星願村露營區,1.0,1865,星願村露營區,1.0000000000000002
2406,481,德芙蘭農場,1827,德芙蘭農場,100.0,1827,德芙蘭農場,1.0,1827,德芙蘭農場,0.9999999999999998
2456,491,吉娃斯景觀咖啡露營區,1826,吉娃斯景觀咖啡露營區,100.0,1826,吉娃斯景觀咖啡露營區,1.0,1826,吉娃斯景觀咖啡露營區,1.0000000000000002
2465,493,ㄡ熊熊露營園地,86,ㄡ熊熊露營園地,100.0,86,ㄡ熊熊露營園地,1.0,86,ㄡ熊熊露營園地,1.0
2491,498,摩天嶺楊園露營區,1829,摩天嶺楊園露營區,100.0,1829,摩天嶺楊園露營區,1.0,1829,摩天嶺楊園露營區,1.0
2570,514,綠大地露營區,82,綠大地露營區,100.0,82,綠大地露營區,1.0,82,綠大地露營區,1.0000000000000002
2595,519,裡冷溪探索園區,83,裡冷溪探索園區,100.0,83,裡冷溪探索園區,1.0,83,裡冷溪探索園區,1.0000000000000002
2601,520,天冷吹雲民宿及露營,1828,天冷吹雲,100.0,1828,天冷吹雲,0.6,1828,天冷吹雲,0.7745966692414834
2620,524,照哥的家,80,照哥的家,100.0,80,照哥的家,1.0,80,照哥的家,1.0000000000000002
2626,525,森林小鹿,555,森林小鹿,100.0,555,森林小鹿,1.0,555,森林小鹿,0.9999999999999998
2635,527,三山來此咖啡莊園,93,三山來此,100.0,527,三山來此咖啡莊園,1.0,527,三山來此咖啡莊園,1.0
2640,528,哈露米露營區,79,哈露米露營區,100.0,79,哈露米露營區,1.0,79,哈露米露營區,1.0000000000000002
2660,532,松鶴延年露營區,90,松鶴延年,100.0,532,松鶴延年露營區,1.0,532,松鶴延年露營區,0.9999999999999998
2680,536,彩虹奇菁露營區,95,彩虹奇菁,100.0,536,彩虹奇菁露營區,1.0,536,彩虹奇菁露營區,1.0000000000000002
2695,539,谷關365露營區,78,谷關365露營區,100.0,78,谷關365露營區,1.0,78,谷關365露營區,1.0000000000000002
2700,540,山上松亭露營區,94,山上松亭,100.0,540,山上松亭露營區,1.0,540,山上松亭露營區,1.0000000000000002
2750,550,台中后里環保公園車泊專區,482,台中后里,100.0,550,台中后里環保公園車泊專區,1.0,550,台中后里環保公園車泊專區,1.0
2775,555,森林小鹿,525,森林小鹿,100.0,525,森林小鹿,1.0,525,森林小鹿,0.9999999999999998
2806,561,中正露營區下平台,570,中正露營區大平台,87.5,570,中正露營區大平台,0.6,570,中正露營區大平台,0.75
2820,564,松鶴唐麻丹露營區,89,松鶴唐麻丹,100.0,564,松鶴唐麻丹露營區,1.0,564,松鶴唐麻丹露營區,1.0000000000000002
2851,570,中正露營區大平台,561,中正露營區下平台,87.5,561,中正露營區下平台,0.6,561,中正露營區下平台,0.75
2920,584,石壁露營區,87,石壁露營區,100.0,87,石壁露營區,1.0,87,石壁露營區,0.9999999999999998
2940,588,一星伴,579,一星伴夢幻營區,100.0,588,一星伴,1.0,588,一星伴,1.0
