,idx,fk,ratio
6031,1206,1746,1.0
6032,1206,33,0.3333333333333333
6033,1206,34,0.3333333333333333
6034,1206,41,0.3333333333333333
6035,1207,1207,1.0
6036,1207,191,0.6666666666666666
6037,1207,484,0.2
6038,1207,452,0.16666666666666666
6039,1207,1187,0.16666666666666666
6040,1208,176,1.0
6041,1208,1208,1.0
6042,1208,33,0.3333333333333333
6043,1208,34,0.3333333333333333
6044,1208,41,0.3333333333333333
6045,1209,1209,1.0
6046,1209,1763,0.5
6047,1209,1634,0.3333333333333333
6048,1209,33,0.25
6049,1209,34,0.25
6050,1210,1210,1.0
6051,1210,2,0.25
6052,1210,9,0.25
6053,1210,16,0.25
6054,1210,51,0.25
6055,1211,1211,1.0
6056,1211,33,0.2
6057,1211,34,0.2
6058,1211,41,0.2
6059,1211,50,0.2
6060,1212,1212,1.0
6061,1212,139,0.5
6062,1212,84,0.4
6063,1212,402,0.4
6064,1212,501,0.4
6065,1213,1213,1.0
6066,1213,1735,1.0
6067,1213,33,0.3333333333333333
6068,1213,34,0.3333333333333333
6069,1213,41,0.3333333333333333
6070,1214,1214,1.0
6071,1214,224,0.3333333333333333
6072,1214,503,0.3333333333333333
6073,1214,711,0.3333333333333333
6074,1214,768,0.3333333333333333
6075,1215,1215,1.0
6076,1215,2,0.3333333333333333
6077,1215,9,0.3333333333333333
6078,1215,16,0.3333333333333333
6079,1215,51,0.3333333333333333
6080,1216,1216,1.0
6081,1216,1742,1.0
6082,1216,2,0.25
6083,1216,9,0.25
6084,1216,16,0.25
6085,1217,1217,1.0
6086,1217,2,0.3333333333333333
6087,1217,9,0.3333333333333333
6088,1217,16,0.3333333333333333
6089,1217,51,0.3333333333333333
6090,1218,1218,1.0
6091,1218,1939,0.4
6092,1218,155,0.3333333333333333
6093,1218,361,0.3333333333333333
6094,1218,365,0.3333333333333333
6095,1219,1219,1.0
6096,1219,118,0.3333333333333333
6097,1219,175,0.3333333333333333
6098,1219,177,0.3333333333333333
6099,1219,211,0.3333333333333333
6100,1220,1220,1.0
6101,1220,1182,0.2727272727272727
6102,1220,1260,0.2222222222222222
6103,1220,2,0.16666666666666666
6104,1220,9,0.16666666666666666
6105,1221,1221,1.0
6106,1221,1552,0.6666666666666666
6107,1221,1628,0.6666666666666666
6108,1221,33,0.3333333333333333
6109,1221,34,0.3333333333333333
