region,county_name,address,total_rank,total_comments_count,altitude,campground_emo_geo_ID,campground_ID,camping_site_name,campground_category,hot,negative_ratio,positive_ratio,hot_but_negative,latitude,longitude,count
北區,桃園市,桃園市復興區6鄰28之,4.9,57,,181,428,上杉露營區,好評,,0.03,0.97,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.0,43,650.0,198,445,亞霧香草營區,差評,,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區溪口路86號,4.7,10,,200,447,享恩商店露營區,普通,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市新屋區港興路310號,4.2,238,,201,448,享慢活 Double 5,,Hot,0.54,0.46,熱門但負評比例超過50%,24.972203,121.105801,1
北區,桃園市,桃園市復興區高義里雪霧鬧,4.6,273,,211,458,伊萬農場露營區,普通,Hot,0.03,0.97,,24.8153769,121.351898,1
北區,桃園市,桃園市龍潭區粗坑路622巷280號,4.0,208,,213,460,休旅家 梧桐心境露營區,差評,,0.47,0.53,,24.863851,121.216392,1
北區,桃園市,桃園市龍潭區永昌路51巷18弄108之2號,3.6,28,,223,470,兔子坑露營區,差評,,0.35,0.65,,24.863851,121.216392,1
北區,桃園市,桃園市復興區羅馬路三段238號,5.0,168,400.0,230,477,八度野溪,好評,,0.04,0.96,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區23號,4.0,148,650.0,270,517,卡普休閒農莊,差評,,0.07,0.93,,24.8153769,121.351898,1
北區,桃園市,桃園市大園區埔心83-2號,4.5,191,,271,518,卡果牧場,普通,,0.15,0.85,,25.063889,121.195277,1
北區,桃園市,桃園市復興區中心路160-7號,4.9,12,,277,524,友善露營區,好評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市龍潭區德湖街369號,4.8,1287,,279,526,叢林開始懶人露營區Glamping,好評,Hot,0.14,0.86,,24.863851,121.216392,1
北區,桃園市,桃園市復興區霞雲里4鄰佳志13-1號,4.4,61,,312,559,喜樂麻谷烤肉露營休閒園區,普通,,0.16,0.84,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區溪口路16巷29號,4.7,563,,330,577,基拉耳山莊,普通,Hot,0.04,0.96,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路315號,5.0,23,1700.0,333,580,拉拉山 塔曼之光露營區,好評,,0.19,0.81,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區10鄰29之5號,5.0,35,900.0,334,581,塔木休閒露營區,好評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區卡普,4.8,195,,338,585,壘薩露營區,好評,,0.08,0.92,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里9鄰85號,5.0,32,1250.0,347,594,拉拉山 夢想家園露營區,好評,,0.01,0.99,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區32號,4.6,37,,355,602,大樹下露營區,普通,,0.1,0.9,,24.8153769,121.351898,1
北區,桃園市,桃園市龍潭區悅華路100號,4.3,574,,376,623,天成逸旅,普通,Hot,0.0,1.0,,24.863851,121.216392,1
北區,桃園市,桃園市復興區奎輝里5鄰12號,3.8,216,,391,638,奎輝營地,差評,,0.48,0.52,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區一鄰號,4.6,53,,436,683,山上陽光休閒農莊,普通,,0.09,0.91,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區成福路,4.1,85,,440,687,山大王休閒農莊,差評,,0.19,0.81,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路156號,4.6,99,,463,710,山雲海露營農場,普通,,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區25之6號,5.0,13,900.0,479,726,布納星空露營區,好評,,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區庫志道路31-3號,4.7,341,,487,734,庫巴露營區,普通,Hot,0.09,0.91,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里巴崚143之1號,4.4,426,,508,755,恩愛農場露營地,普通,Hot,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區霞雲里佳志14之1號,4.0,5,,529,776,拉嘎露營區,差評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區高義村雪霧鬧7鄰10-8號,4.6,101,,539,786,摩亞露營區,普通,,0.11,0.89,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.9,120,,559,806,施工中暫停服務,好評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.2,119,,639,886,桃園•復興露營區,,,0.19,0.81,,24.8153769,121.351898,1
北區,桃園市,桃園市龍潭區民治路100號,4.0,180,,640,887,桃園市龍潭區石門國民小學第二校區,差評,,0.18,0.82,,24.863851,121.216392,1
北區,桃園市,桃園市大溪區福山一路118-1號,4.4,398,,656,904,森森親子露營區,普通,Hot,0.15,0.85,,24.880584,121.286962,1
北區,桃園市,桃園市復興區奎輝里2鄰下奎輝3-1號,4.5,304,,668,916,樂悠露營,普通,Hot,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵村11鄰180-11號,4.2,217,,674,922,樂野露營區,,,0.18,0.82,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,5.0,62,,677,925,樹不老休閒莊園,好評,,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,5.0,56,400.0,692,940,比亞山露營區,好評,,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區9鄰89-1號,4.0,35,900.0,695,943,拉拉山 比該溪生態露營區,差評,,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市中壢區福達路二段628號,4.2,1067,,700,948,水樂活親子農場,,Hot,0.32,0.68,,24.953,121.225,1
北區,桃園市,桃園市復興區華陵村10鄰143之22號,4.1,124,,706,954,沄峰農場,差評,,0.16,0.84,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區6鄰21號,5.0,132,650.0,711,959,沒搞頭露營區,好評,,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區2號,5.0,156,650.0,724,972,泰雅秘境露營區,好評,,0.11,0.89,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區流霞路50號,4.2,325,,743,991,清龍谷渡假中心,,Hot,0.09,0.91,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區羅馬路二段268號,4.7,481,,749,997,溪口台露營渡假園區(部落體驗&旅居車),普通,Hot,0.01,0.99,,24.8153769,121.351898,1
